adduct,mz,rt QE,name,Formula
M+Na,202.0475,8.03,HIPPURATE+Na,C9H9NO3
M+H-H2O,162.055,8.03,HIPPURATE-H2O,C9H9NO3
M+H,112.0869,0.61,HISTAMINE,C5H9N3
M+Na,134.0689,0.61,HISTAMINE+Na,C5H9N3
M+H-NH3,95.0604,0.61,HISTAMINE-NH3,C5H9N3
,207.049,6.044,HOMOCITRATE,C7H10O7
,136.0427,0.96,HOMOCYSTEINE,C4H9NO2S
M+H,269.0624,1.03,HOMOCYSTINE,C8H16N2O4S2
M+Na,291.0444,1.03,HOMOCYSTINE+Na,C8H16N2O4S2
M+H,169.0495,6.78,HOMOGENTISATE,C8H8O4
M+H-H2O,151.039,6.78,HOMOGENTISATE-H2O,C8H8O4
M+H,120.0655,0.72,HOMOSERINE,C4H9NO3
M+Na,142.0475,0.72,HOMOSERINE+Na,C4H9NO3
M+H-H2O,102.055,0.72,HOMOSERINE-H2O,C4H9NO3
M+H-H2O,165.0546,7.53,HOMOVANILLATE,C9H10O4
M+H,111.0441,13.38,HYDROQUINONE,C6H6O2
,196.0395,8.066,HYDROXYHIPPURIC ACID,C9H9NO4
M+H-H2O,375.2894,11.64,HYODEOXCHOLIC ACID-H2O,C24H40O4
M+H,110.027,0.71,HYPOTAURINE,C2H7NO2S
M+Na,132.009,0.71,HYPOTAURINE+Na,C2H7NO2S
M+H-H2O,92.0165,0.71,HYPOTAURINE-H2O,C2H7NO2S
M+H,137.0458,2.06,HYPOXANTHINE,C5H4N4O
M+Na,159.0277,2.06,HYPOXANTHINE+Na,C5H4N4O
M+H-NH3,120.0192,2.06,HYPOXANTHINE-NH3,C5H4N4O
,207.1385,8.2,IBUPROFEN,C13H18O2
M+H,160.0757,6.58,INDOLE-3-ACETALDEHYDE,C10H9NO
M+H,175.0866,8.82,INDOLE-3-ACETAMIDE,C10H10N2O
M+K,213.0425,8.82,INDOLE-3-ACETAMIDE+K,C10H10N2O
M+Na,197.0685,8.82,INDOLE-3-ACETAMIDE+Na,C10H10N2O
M+H-NH3,158.06,8.82,INDOLE-3-ACETAMIDE-NH3,C10H10N2O
M+H,176.0706,9.96,INDOLE-3-ACETATE,C10H9NO2
M+H-H2O,162.0549,8.61,INDOLE-3-CARBOXYLIC ACID,C9H7NO2
M+H,162.0913,9.91,INDOLE-3-ETHANOL,C10H11NO
M+H-H2O,144.0808,9.91,INDOLE-3-ETHANOL-H2O,C10H11NO
,188.07074,7.59,INODLEACRYLIC ACID,C11H9NO2
M+H,269.088,6.03,INOSINE,C10H12N4O5
M+H,349.0544,1.9,INOSINE 5'-MONOPHOSPHATE,C10H13N4O8P
M+Na,371.0363,1.9,INOSINE 5'-MONOPHOSPHATE+Na,C10H13N4O8P
M+H,349.0544,1.9,INOSINE 5'-PHOSPHATE,C10H13N4O8P
M+Na,371.0363,1.9,INOSINE 5'-PHOSPHATE+Na,C10H13N4O8P
M+K,307.0439,6.03,INOSINE+K,C10H12N4O5
M+Na,291.07,6.03,INOSINE+Na,C10H12N4O5
,232.1549,7.31,ISOBUTYRYLCARNITINE,C11H21NO4
M+H,193.0343,1.13,ISOCITRIC ACID,C6H8O7
M+Na,215.0162,1.13,ISOCITRIC ACID+Na,C6H8O7
M+H-H2O,175.0237,1.13,ISOCITRIC ACID-H2O,C6H8O7
,112.05053,1.597,ISOCYTOSINE,C4H5N3O
M+H,246.17,8.23,ISOVALERYLCARNITINE,C12H23NO4
M+H,246.1705,7.95,ISOVALERYLCARNITINE,C12H23NO4
,255.2258,8.11,"ISOVALERYLCARNITINE (N,N,N-trimethyl-D9)",
M+Na,268.1519,8.23,ISOVALERYLCARNITINE+Na,C12H23NO4
M+H,131.0339,5.86,ITACONATE,C5H6O4
M+H,131.0339,3.59,ITACONATE,C5H6O4
M+Na,153.0158,5.86,ITACONATE+Na,C5H6O4
M+Na,153.0158,3.59,ITACONATE+Na,C5H6O4
M+H-H2O,113.0233,5.86,ITACONATE-H2O,C5H6O4
M+H-H2O,113.0233,3.59,ITACONATE-H2O,C5H6O4
,287.0538,11.32,KAEMPFEROL,C15H10O6
,190.0498,7.66,KYNURENIC ACID,C10H7NO3
M+H,209.0921,6.96,KYNURENINE,C10H12N2O3
,209.0921,6.15,KYNURENINE,C10H12N2O3
,209.09207,6.162,KYNURENINE,C10H12N2O3
M+H,105.0659,0.64,"L-2,3-DIAMINOPROPIONIC ACID",C3H8N2O2
M+K,143.0217,0.64,"L-2,3-DIAMINOPROPIONIC ACID+K",C3H8N2O2
M+Na,127.0478,0.64,"L-2,3-DIAMINOPROPIONIC ACID+Na",C3H8N2O2
M+H-NH3,88.0393,0.64,"L-2,3-DIAMINOPROPIONIC ACID-NH3",C3H8N2O2
,162.0759,0.89,L-2-AMINO ADIPIC ACID,C6H11NO4
,187.00022,0.908,L-2-PHOSPHOGLYCERIC ACID,C3H7O7P
M+H,163.1077,0.63,L-5-HYDROXYLYSINE,C6H14N2O3
M+K,201.0636,0.63,L-5-HYDROXYLYSINE+K,C6H14N2O3
M+Na,185.0897,0.63,L-5-HYDROXYLYSINE+Na,C6H14N2O3
M+H-H2O,145.0972,0.63,L-5-HYDROXYLYSINE-H2O,C6H14N2O3
M+H-NH3,146.0812,0.63,L-5-HYDROXYLYSINE-NH3,C6H14N2O3
,91.03953,0.84,LACTIC ACID,C3H6O3
M+H,343.1234,0.7,LACTOSE,
M+K,381.0792,0.7,LACTOSE+K,
M+Na,365.1053,0.7,LACTOSE+NA,
Dimer,707.222,0.7,LACTOSE-Dimer,
M+H,90.055,0.72,L-ALANINE,C3H7NO2
,93.06556,0.72,L-ALANINE 13C3,*CH3*CH(NH2)*COOH
M+Na,112.0369,0.72,L-ALANINE+Na,C3H7NO2
M+Na,142.0475,0.72,L-ALLOTHREONINE+Na,C4H9NO3
M+H-H2O,102.055,0.72,L-ALLOTHREONINE-H2O,C4H9NO3
M+H,241.1295,0.74,L-ANSERINE,C10H16N4O3
M+Na,263.1115,0.74,L-ANSERINE+Na,C10H16N4O3
M+H-NH3,224.103,0.74,L-ANSERINE-NH3,C10H16N4O3
M+H,153.0757,0.74,L-ARABITOL,C5H12O5
M+K,191.0316,0.74,L-ARABITOL+K,C5H12O5
M+Na,175.0577,0.74,L-ARABITOL+Na,C5H12O5
M+H-H2O,135.0652,0.74,L-ARABITOL-H2O,C5H12O5
M+H,175.119,0.69,L-ARGININE,C6H14N4O2
M+K,213.0748,0.69,L-ARGININE+K,C6H14N4O2
M+Na,197.1009,0.69,L-ARGININE+Na,C6H14N4O2
M+H-NH3,158.0924,0.69,L-ARGININE-NH3,C6H14N4O2
M+H,133.0608,0.7,L-ASPARAGINE,C4H8N2O3
M+K,171.0167,0.7,L-ASPARAGINE+K,C4H8N2O3
M+Na,155.0427,0.7,L-ASPARAGINE+Na,C4H8N2O3
M+H-NH3,116.0342,0.7,L-ASPARAGINE-NH3,C4H8N2O3
M+H,134.0448,0.71,L-ASPARTATE,C4H7NO4
M+Na,156.0267,0.71,L-ASPARTATE+Na,C4H7NO4
M+H-H2O,116.0342,0.71,L-ASPARTATE-H2O,C4H7NO4
M+H,344.2795,12.77,LAUROYLCARNITINE,C19H37NO4
M+Na,366.2615,12.77,LAUROYLCARNITINE+Na,C19H37NO4
M+H,162.1125,0.95,L-CARNITINE,C7H15NO3
,171.16862,0.93,L-CARNITINE:D9,
M+K,200.0684,0.95,L-CARNITINE+K,C7H15NO3
M+Na,184.0944,0.95,L-CARNITINE+Na,C7H15NO3
M+H,223.0747,0.68,L-CYSTATHIONINE,C7H14N2O4S
M+Na,245.0566,0.68,L-CYSTATHIONINE+Na,C7H14N2O4S
M+H,170.0118,0.71,L-CYSTEIC ACID,C3H7NO5S
M+Na,191.9937,0.71,L-CYSTEIC ACID+Na,C3H7NO5S
M+H,122.027,0.68,L-CYSTEINE,C3H7NO2S
M+H,241.0311,0.68,L-CYSTINE,C6H12N2O4S2
M+K,278.987,0.68,L-CYSTINE,C6H12N2O4S2
M+Na,263.0131,0.68,L-CYSTINE+Na,C6H12N2O4S2
,229.15471,7.232,LEU PRO,C11H20N2O3
,362.1503,8.59,LEVOFLOXACIN,C18H20FN3O4
,165.0947,0.9,L-FUCOSE,C6H12NO6
M+H,148.0604,0.75,L-GLUTAMIC ACID,C5H9NO4
M+Na,170.0424,0.75,L-GLUTAMIC ACID+Na,C5H9NO4
M+H-H2O,130.0499,0.75,L-GLUTAMIC ACID-H2O,C5H9NO4
M+H-NH3,131.0339,0.75,L-GLUTAMIC ACID-NH3,C5H9NO4
M+H,147.0764,0.72,L-GLUTAMINE,C5H10N2O3
M+K,185.0323,0.72,L-GLUTAMINE+K,C5H10N2O3
M+Na,169.0584,0.72,L-GLUTAMINE+Na,C5H10N2O3
M+H-NH3,130.0499,0.72,L-GLUTAMINE-NH3,C5H10N2O3
M+H,156.0768,0.66,L-HISTIDINE,C6H9N3O2
M+K,194.0326,0.66,L-HISTIDINE+K,C6H9N3O2
M+Na,178.0587,0.66,L-HISTIDINE+Na,C6H9N3O2
M+H,142.0975,0.61,L-HISTIDINOL,C6H11N3O
M+K,180.0534,0.61,L-HISTIDINOL+K,C6H11N3O
M+Na,164.0794,0.61,L-HISTIDINOL+Na,C6H11N3O
M+H-H2O,124.0869,0.61,L-HISTIDINOL-H2O,C6H11N3O
M+H,118.0321,0.95,L-HOMOCYSTEINE THIOLACTONE,C4H7NOS
M+Na,140.0141,0.95,L-HOMOCYSTEINE THIOLACTONE+Na,C4H7NOS
,235.181,8.4,LIDOCAINE,C14H22N2O
M+H,155.143,9.56,LINALOOL,C10H18O
M+H,281.2475,12.88,LINOLEATE,C18H32O2
M+H,424.3421,15.59,LINOLEYLCARNITINE,C25H45NO4
M+Na,446.3241,11.32,LINOLEYLCARNITINE+Na,C25H45NO4
M+H,206.0668,9.93,LIPOAMIDE,C8H15NOS2
M+K,244.0227,9.93,LIPOAMIDE+K,C8H15NOS2
M+Na,228.0487,9.93,LIPOAMIDE+Na,C8H15NOS2
M+H-NH3,189.0402,9.93,LIPOAMIDE-NH3,C8H15NOS2
M+H,132.1019,2.3,L-ISOLEUCINE,C6H13NO2
M+Na,154.0838,2.3,L-ISOLEUCINE+Na,C6H13NO2
M+H-H2O,359.2945,14.25,LITHOCHOLIC ACID,C24H40O3
M+H,191.1026,0.67,"LL-2,6-DIAMINOHEPTANEDIOATE",C7H14N2O4
M+K,229.0585,0.67,"LL-2,6-DIAMINOHEPTANEDIOATE+K",C7H14N2O4
M+Na,213.0846,0.67,"LL-2,6-DIAMINOHEPTANEDIOATE+Na",C7H14N2O4
M+H-H2O,173.0921,0.67,"LL-2,6-DIAMINOHEPTANEDIOATE-H2O",C7H14N2O4
M+H-NH3,174.0761,0.67,"LL-2,6-DIAMINOHEPTANEDIOATE-NH3",C7H14N2O4
M+H,132.1019,2.6,L-LEUCINE,C6H13NO2
,138.12256,2.6,L-LEUCINE 13C6,(*CH3)2*CH*CH2*CH(NH2)*COOH
,142.16521,2.6,L-LEUCINE-D10,C6H3D10NO2
M+H,147.1128,0.64,L-LYSINE,C6H14N2O2
M+K,185.0687,0.64,L-LYSINE+K,C6H14N2O2
M+Na,169.0947,0.64,L-LYSINE+Na,C6H14N2O2
M+H-H2O,129.1022,0.64,L-LYSINE-H2O,C6H14N2O2
M+H-NH3,130.0863,0.64,L-LYSINE-NH3,C6H14N2O2
M+H,150.0583,1.4,L-METHIONINE,C5H11NO2S
M+H-NH3,133.0318,1.4,L-METHIONINE-NH3,C5H11NO2S
M+H,181.0641,0.7,L-METHIONINE SULFOXIMINE,C5H12N2O3S
M+K,219.02,0.7,L-METHIONINE SULFOXIMINE+K,C5H12N2O3S
M+Na,203.0461,0.7,L-METHIONINE SULFOXIMINE+Na,C5H12N2O3S
M+H-NH3,164.0376,0.7,L-METHIONINE SULFOXIMINE-NH3,C5H12N2O3S
M+Na,172.0403,1.4,L-METHIONINE+Na,C5H11NO2S
M+K,171.053,0.63,L-ORNITHINE+K,C5H12N2O2
M+H-H2O,115.0866,0.63,L-ORNITHINE-H2O,C5H12N2O2
M+H-NH3,116.0706,0.63,L-ORNITHINE-NH3,C5H12N2O2
M+H,133.0972,0.63,L-ORNITHINE,C5H12N2O2
M+Na,155.0791,0.63,L-ORNITHINE+Na,C5H12N2O2
M+Na,188.0682,6.12,L-PHENYLALANINE+Na,C9H11NO2
M+H,166.0863,6.12,L-PHENYLALANINE,C9H11NO2
M+H-NH3,149.0597,6.12,L-PHENYLALANINE-NH3,C9H11NO2
,166.08626,6.2,L-PHENYLALANINE,C9H11NO2
,172.10691,6.13,L-PHENYLALANINE 13C6,*C6H5CH2CH(NH2)COOH
,120.08078,6.2,L-PHENYLALANINE-HCOOH,C8H10N
M+H,130.0863,1.2,L-PIPECOLIC ACID,C6H11NO2
M+Na,152.0682,1.2,L-PIPECOLIC ACID+Na,C6H11NO2
M+H,116.0706,0.85,L-PROLINE,C5H9NO2
M+Na,138.0525,0.85,L-PROLINE+Na,C5H9NO2
M+Na,187.0577,0.83,L-RHAMNOSE+Na,C6H12O5
M+H-H2O,147.0652,0.83,L-RHAMNOSE-H2O,C6H12O5
M+Na,128.0318,0.69,L-SERINE+Na,C3H7NO3
M+H,106.0499,0.69,L-SERINE,C3H7NO3
M+H-H2O,88.0393,0.69,L-SERINE-H2O,C3H7NO3
M+H-H2O,163.0601,0.69,L-SORBOSE-H2O,C6H12O6
M+H,181.0707,0.69,L-SORBOSE,C6H12O6
M+Na,203.0526,0.69,L-SORBOSE+Na,C6H12O6
M+K,219.0265,0.69,L-SORBOSE+K,C6H12O6
M+H,120.0655,0.73,L-THREONINE,C4H9NO3
M+H-H2O,102.055,0.73,L-THREONINE-H2O,C4H9NO3
M+Na,142.0475,0.73,L-THREONINE+Na,C4H9NO3
M+H,205.0972,7.71,L-TRYPTOPHAN,C11H12N2O2
,216.13457,7.63,L-TRYPTOPHAN 13C11,(*C8H5NH)*CH2*CH(NH2)*COOH
[M+Na],238.11651,7.63,L-TRYPTOPHAN 13C11,(*C8H5NH)*CH2*CH(NH2)*COOH
M+K,243.053,7.71,L-TRYPTOPHAN+K,C11H12N2O2
M+Na,227.0791,7.71,L-TRYPTOPHAN+Na,C11H12N2O2
,208.11654,7.69,"L-TRYPTOPHAN-2,3,3-D3",C11H9D3N2O2
Source fragment,191.08944,7.69,"L-TRYPTOPHAN-2,3,3-D3-NH3",C11H7D3NO2
M+H,204.1131,7.51,L-TRYPTOPHANAMIDE,C11H13N3O
M+K,242.069,7.51,L-TRYPTOPHANAMIDE+K,C11H13N3O
M+Na,226.0951,7.51,L-TRYPTOPHANAMIDE+Na,C11H13N3O
M+H-NH3,187.0866,7.51,L-TRYPTOPHANAMIDE-NH3,C11H13N3O
M+H-NH3,188.0706,7.71,L-TRYPTOPHAN-NH3,C11H12N2O2
M+H,182.0812,3.4,L-TYROSINE,C9H11NO3
,188.10183,3.4,L-TYROSINE 13C6,HO*C6H4CH2CH(NH2)COOH
,165.0547,3.4,L-TYROSINE source fragment,
M+Na,204.0631,3.4,L-TYROSINE+Na,C9H11NO3
M+H-NH3,165.0546,3.4,L-TYROSINE-NH3,C9H11NO3
M+H,243.0877,9.41,LUMICHROME,C12H10N4O2
M+H,118.0863,1.11,L-VALINE/5-AMINOPENTANOATE/L-NORVALINE,C5H11NO2
M+Na,140.0682,1.11,L-VALINE/5-AMINOPENTANOATE/L-NORVALINE+Na,C5H11NO2
M+Na,173.042,0.77,L-XYLOSE+Na,C5H10O5
M+H-H2O,133.0495,0.77,L-XYLOSE-H2O,C5H10O5
,496.3403,13.5,LYSO PC (16:0),C24H50NO7P
M+Na,518.3221,13.61097,LYSO PC (16:0)+Na,C24H50NO7P
,494.3247,12.8,LYSO PC (16:1),C24H48NO7P
,524.3716,14.6,LYSO PC (18:0),C26H54NO7P
M+H,524.3731,14.7904,LYSO PC (18:0),C26H54NO7P
M+H,522.3579,13.64035,LYSO PC (18:1),
M+H,520.3417,13.01725,LYSO PC (18:2),
M+H,544.339,13.64269,LYSO PC (20:4),
M+H,544.339,13.13,LYSO PC (20:4),
M+H,568.3424,13.03635,LYSO PC (22:6),
M+H,482.3243,14.52113,LYSO PE (18:0),
M+Na,504.304,14.52288,LYSO PE (18:0)+Na,
,480.309,13.65,LYSO PE (18:1),C23H46NO7P
M+H,502.2926,12.89718,LYSO PE (20:4),
M+H,530.3238,13.54733,LYSO PE (22:4),
M+H,526.2927,12.9221,LYSO PE (22:6),
M+H,135.0288,1.07,MALATE,C4H6O5
M+Na,157.0107,1.07,MALATE+Na,C4H6O5
M+Na,138.0162,6.47,MALEAMATE,C4H5NO3
M+H,117.0182,1.74,MALEIC ACID,C4H4O4
M+Na,139.0002,1.74,MALEIC ACID+Na,C4H4O4
M+H-H2O,99.0077,1.74,MALEIC ACID-H2O,C4H4O4
M+H,98.0237,1.56,MALEIMIDE,C4H3NO2
M+H,105.0182,1.17,MALONATE,C3H4O4
M+Na,127.0002,1.17,MALONATE+Na,C3H4O4
M+H,248.1129,2.26,MALONYLCARNITINE,C10H17NO6
M+H,343.1235,0.76,MALTOSE,C12H22O11
M+Na,365.1054,0.76,MALTOSE+Na,C12H22O11
M+H-H2O,325.1129,0.76,MALTOSE-H2O,C12H22O11
M+H,183.0863,0.74,MANNITOL/Sorbitol,C6H14O6
M+K,221.0422,0.74,MANNITOL/Sorbitol+K,C6H14O6
M+Na,205.0683,0.74,MANNITOL/Sorbitol+Na,C6H14O6
M+H-H2O,165.0757,0.74,MANNITOL/Sorbitol-H2O,C6H14O6
M+H,181.0707,0.74,MANNOSE,C6H12O6
M+K,219.0265,0.74,MANNOSE+K,C6H12O6
M+Na,203.0526,0.74,MANNOSE+Na,C6H12O6
M+H,233.1285,9.74,MELATONIN,C13H16N2O2
M+K,271.0843,9.74,MELATONIN+K,C13H16N2O2
M+Na,255.1104,9.74,MELATONIN+Na,C13H16N2O2
M+H-NH3,216.1019,9.74,MELATONIN-NH3,C13H16N2O2
M+H,343.1235,0.88,MELIBIOSE,C12H22O11
M+Na,365.1054,0.88,MELIBIOSE+Na,C12H22O11
M+H-H2O,325.1129,0.88,MELIBIOSE-H2O,C12H22O11
M+Na,173.0057,0.79,MESO-TARTARIC ACID,C4H6O6
,166.05351,0.758,METHIONINE SULFOXIDE,C5H11NO3S
M+H,195.0863,0.92,METHYL BETA-D-GALACTOSIDE,C7H14O6
M+K,233.0422,0.92,METHYL BETA-D-GALACTOSIDE+K,C7H14O6
M+Na,217.0683,0.92,METHYL BETA-D-GALACTOSIDE+Na,C7H14O6
M+H,190.0863,11.55,METHYL INDOLE-3-ACETATE,C11H11NO2
M+H,225.1485,12.44,METHYL JASMONATE,C13H20O3
,225.1485,11.55,METHYL JASMONATE,C13H20O3
M+H-H2O,207.138,12.44,METHYL JASMONATE-H2O,C13H20O3
M+H-H2O,151.039,3.05,METHYL VANILLATE-H2O,C8H8O4
M+H,258.1085,2.73,METHYLCYTIDINE,C10H15N3O5
M+H,290.1598,7.3,Methylglutaryl-L-carnitine,C13H23NO6
M+H,119.0339,2.56,METHYLMALONATE,C4H6O4
M+Na,141.0158,2.56,METHYLMALONATE+Na,C4H6O4
M+H-H2O,101.0233,2.56,METHYLMALONATE-H2O,C4H6O4
M+H,149.0808,2.39,MEVALOLACTONE,C6H12O4
M+Na,171.0628,2.39,MEVALOLACTONE_Na,C6H12O4
M+H,409.2056,6.751545,MGDG (2:0_7:0),
M+NH4,652.4024,8.68763,MGDG (22:6_4:0),
M+NH4,440.2498,8.424253,MGDG (7:0_3:0),
,257.0805,11.75,Monobenzyl phthalate (mBzP), C15H12O4 
,223.09599,12.44,Monobutyl phthalate,C12H14O4
,223.0963,11.38,Monobutyl phthalate (mBP),C12H14O4
,195.0651,9.91,Monoethyl phthalate (mEP),C10H10O4
M+H,147.0652,7.68,MONO-METHYL GLUTARATE,C6H10O4
M+H,147.0652,7.19,MONO-METHYL GLUTARATE,C6H10O4
M+Na,169.0471,7.68,MONO-METHYL GLUTARATE+Na,C6H10O4
M+Na,169.0471,7.19,MONO-METHYL GLUTARATE+Na,C6H10O4
M+H-H2O,129.0546,7.68,MONO-METHYL GLUTARATE-H2O,C6H10O4
M+H-H2O,129.0546,7.19,MONO-METHYL GLUTARATE-H2O,C6H10O4
,181.0495,9.27,Monomethyl phthalate (MMP),C9H8O4
,279.1584,13.8,Monooctyl phtlate (MOP),C16H22O4
M+H-H2O,375.2894,11.5,MURIDEOXYCHOLIC ACID,C24H40O4
M+H,181.0707,0.69,MYO-INOSITOL,C6H12O6
M+K,219.0265,0.69,MYO-INOSITOL,C6H12O6
M+Na,203.0526,0.69,MYO-INOSITOL+Na,C6H12O6
M+H-H2O,163.0601,0.69,MYO-INOSITOL-H2O,C6H12O6
M+H,372.3108,14.66,MYRISOTYLCARNITINE,C21H41NO4
M+Na,394.2928,14.66,MYRISOTYLCARNITINE+Na,C21H41NO4
M+K,267.1721,13.49,MYRISTIC ACID+K,C14H28O2
,381.36633,14.14,"MYRISTOLCARNITINE (N,N,N-trimethyl-D9)",
M+H,245.2336,0.6,N1-ACETYLSPERMINE,C12H28N4O
M+Na,267.2155,0.6,N1-ACETYLSPERMINE+Na,C12H28N4O
M+K,242.0803,8.36,N6-(DELTA2-ISOPENTENYL)-ADENINE,C10H13N5
M+Na,226.1063,8.36,N6-(DELTA2-ISOPENTENYL)-ADENINE+K,C10H13N5
M+H,204.1244,8.36,N6-(DELTA2-ISOPENTENYL)-ADENINE+Na,C10H13N5
,217.1295,1.6,N-Acetyl-Arginine ,C8H16N4O3
M+H,222.0972,0.82,N-ACETYL-D-GALACTOSAMINE,C8H15NO6
M+Na,244.0792,0.82,N-ACETYL-D-GALACTOSAMINE+Na,C8H15NO6
M+H-H2O,204.0866,0.82,N-ACETYL-D-GALACTOSAMINE-H2O,C8H15NO6
M+H,222.0972,0.77,N-ACETYL-D-GLUCOSAMINE,C8H15NO6
M+K,260.0531,0.77,N-ACETYL-D-GLUCOSAMINE+K,C8H15NO6
M+Na,244.0792,0.77,N-ACETYL-D-GLUCOSAMINE+Na,C8H15NO6
M+H-H2O,204.0866,0.77,N-ACETYL-D-GLUCOSAMINE-H2O,C8H15NO6
M+H,190.071,2.23,N-ACETYL-DL-GLUTAMIC ACID,C7H11NO5
M+Na,212.0529,2.23,N-ACETYL-DL-GLUTAMIC ACID+Na,C7H11NO5
M+H-H2O,172.0604,2.23,N-ACETYL-DL-GLUTAMIC ACID-H2O,C7H11NO5
M+H,192.0689,7.31,N-ACETYL-DL-METHIONINE,C7H13NO3S
M+Na,214.0508,7.31,N-ACETYL-DL-METHIONINE+Na,C7H13NO3S
M+H-H2O,174.0583,7.31,N-ACETYL-DL-METHIONINE-H2O,C7H13NO3S
M+H,148.0604,1.09,N-ACETYL-DL-SERINE,C5H9NO4
M+Na,170.0424,1.09,N-ACETYL-DL-SERINE+Na,C5H9NO4
M+H-H2O,130.0499,1.09,N-ACETYL-DL-SERINE-H2O,C5H9NO4
M+H,247.1077,9.3,N-ACETYL-D-TRYPTOPHAN,C13H14N2O3
M+K,285.0636,9.3,N-ACETYL-D-TRYPTOPHAN+K,C13H14N2O3
M+Na,269.0897,9.3,N-ACETYL-D-TRYPTOPHAN+Na,C13H14N2O3
M+H-H2O,229.0972,9.3,N-ACETYL-D-TRYPTOPHAN-H2O,C13H14N2O3
M+H,190.071,2.225,N-ACETYLGLUTAMATE,C7H11NO5
M+H-2H2O,154.0498,2.225,N-ACETYLGLUTAMATE-2H2O,C7H11NO5
M+H,118.0499,1.21,N-ACETYLGLYCINE ,C4H7NO3
M+Na,140.0318,1.21,N-ACETYLGLYCINE +Na,C4H7NO3
M+H-H2O,100.0393,1.21,N-ACETYLGLYCINE -H2O,C4H7NO3
M+Na,244.07916,0.8,N-ACETYL-HEXOSAMINE+Na,C8H15NO6
M+H,132.0655,2.26,N-ACETYL-L-ALANINE,C5H9NO3
M+Na,154.0475,2.26,N-ACETYL-L-ALANINE+Na,C5H9NO3
M+H-H2O,114.055,2.26,N-ACETYL-L-ALANINE-H2O,C5H9NO3
M+H,176.0553,1.49,N-ACETYL-L-ASPARTIC ACID,C6H9NO5
M+K,214.0112,1.49,N-ACETYL-L-ASPARTIC ACID+K,C6H9NO5
M+Na,198.0373,1.49,N-ACETYL-L-ASPARTIC ACID+Na,C6H9NO5
M+H-H2O,158.0448,1.49,N-ACETYL-L-ASPARTIC ACID-H2O,C6H9NO5
M+H,164.0376,3.2,N-ACETYL-L-CYSTEINE,C5H9NO3S
M+Na,186.0195,3.2,N-ACETYL-L-CYSTEINE+Na,C5H9NO3S
M+H-H2O,146.027,3.2,N-ACETYL-L-CYSTEINE-H2O,C5H9NO3S
M+H,174.1125,8.35,N-ACETYL-L-LEUCINE,C8H15NO3
M+Na,196.0944,8.35,N-ACETYL-L-LEUCINE+Na,C8H15NO3
M+H-H2O,156.1019,8.35,N-ACETYL-L-LEUCINE-H2O,C8H15NO3
M+H,208.0968,8.89,N-ACETYL-L-PHENYLALANINE,C11H13NO3
M+Na,230.0788,8.89,N-ACETYL-L-PHENYLALANINE+Na,C11H13NO3
M+H-H2O,190.0863,8.89,N-ACETYL-L-PHENYLALANINE-H2O,C11H13NO3
M+H,310.1133,0.81,N-ACETYLNEURAMINATE,C11H19NO9
M+Na,332.0952,0.81,N-ACETYLNEURAMINATE+Na,C11H19NO9
M+H-H2O,292.1027,0.81,N-ACETYLNEURAMINATE-H2O,C11H19NO9
M+H,131.1179,1.1,N-ACETYLPUTRESCINE,C6H14N2O
M+Na,153.0998,1.1,N-ACETYLPUTRESCINE+Na,C6H14N2O
M+H-NH3,114.0913,1.1,N-ACETYLPUTRESCINE-NH3,C6H14N2O
M+H,219.1128,8.29,N-ACETYLSEROTONIN,C12H14N2O2
M+K,257.0687,8.29,N-ACETYLSEROTONIN+K,C12H14N2O2
M+Na,241.0947,8.29,N-ACETYLSEROTONIN+Na,C12H14N2O2
M+H-H2O,201.1022,8.29,N-ACETYLSEROTONIN-H2O,C12H14N2O2
M+H-NH3,202.0863,8.29,N-ACETYLSEROTONIN-NH3,C12H14N2O2
M+H,664.1164,3.44,NAD,C21H27N7O14P2
M+H,189.1234,1.05,NALPHA-ACETYL-L-LYSINE,C8H16N2O3
M+Na,211.1053,1.05,NALPHA-ACETYL-L-LYSINE+Na,C8H16N2O3
M+H-H2O,171.1128,1.05,NALPHA-ACETYL-L-LYSINE-H2O,C8H16N2O3
M+H-NH3,172.0968,1.05,NALPHA-ACETYL-L-LYSINE-NH3,C8H16N2O3
M+H,176.0666,0.83,N-AMIDINO-L-ASPARTATE,C5H9N3O4
M+Na,198.0485,0.83,N-AMIDINO-L-ASPARTATE,C5H9N3O4
M+H-H2O,158.056,0.83,N-AMIDINO-L-ASPARTATE-H2O,C5H9N3O4
,90.05495,9,N-BOC-L-Alanine,C8H15NO4
M+Na,212.0899,9,N-BOC-L-Alanine,C8H15NO4
,134.04478,8.6,N-BOC-L-Aspartic Acid,C9H15NO6
[M+Na],256.07974,8.6,N-BOC-L-Aspartic Acid,C9H15NO6
,132.1019,10.9,N-BOC-L-tert-Leucine,C11H21NO4
M+Na,254.18685,10.9,N-BOC-L-tert-Leucine,C11H21NO4
,205.09715,11.52,N-BOC-L-Tryptophan,C16H20N2O4
M+Na,327.1321,11.52,N-BOC-L-Tryptophan,C16H20N2O4
,214.08911,11.9,N-Butylbenzenesulfonamide,C10H15NO2S
M+H,104.0342,0.99,N-FORMYLGLYCINE,C3H5NO3
M+H-H2O,86.0237,0.99,N-FORMYLGLYCINE-H2O,C3H5NO3
,178.0529,6.9,N-FORMYL-L-METHIONINE ,C6H11NO3S
M+H,124.0398,1.34,NIACIN,C6H5NO2
